Frame,Keypoint,X,Y,Confidence
1,nose,1056.905594,213.7121862,0.668472469
1,left_eye,1075.881536,196.3792205,0.647897363
1,right_eye,1045.051303,200.2795494,0.584240317
1,left_ear,1113.192329,202.5789374,0.6389305
1,right_ear,1042.34107,209.1943431,0.754280865
1,left_shoulder,1165.892715,288.274405,0.620011628
1,right_shoulder,1028.176174,303.2086873,0.692821741
1,left_elbow,1181.385884,442.333678,0.587165713
1,right_elbow,1028.830333,440.5414689,0.656643748
1,left_wrist,1169.361906,570.0950933,0.722135186
1,right_wrist,1010.00895,551.4773226,0.742508054
1,left_hip,1131.525571,547.7622271,0.802745461
1,right_hip,1058.071196,548.637507,0.767008662
1,left_knee,1110.910499,745.1138663,0.597259343
1,right_knee,1048.439512,736.5459466,0.805010676
1,left_ankle,1151.423786,931.4541793,0.656771958
1,right_ankle,1106.796806,902.5204396,0.671133697
1,nose,1056.905594,213.7121862,0.668472469
1,left_eye,1075.881536,196.3792205,0.647897363
1,right_eye,1045.051303,200.2795494,0.584240317
1,left_ear,1113.192329,202.5789374,0.6389305
1,right_ear,1042.34107,209.1943431,0.754280865
1,left_shoulder,1165.892715,288.274405,0.620011628
1,right_shoulder,1028.176174,303.2086873,0.692821741
1,left_elbow,1181.385884,442.333678,0.587165713
1,right_elbow,1028.830333,440.5414689,0.656643748
1,left_wrist,1169.361906,570.0950933,0.722135186
1,right_wrist,1010.00895,551.4773226,0.742508054
1,left_hip,1131.525571,547.7622271,0.802745461
1,right_hip,1058.071196,548.637507,0.767008662
1,left_knee,1110.910499,745.1138663,0.597259343
1,right_knee,1048.439512,736.5459466,0.805010676
1,left_ankle,1151.423786,931.4541793,0.656771958
1,right_ankle,1106.796806,902.5204396,0.671133697
2,nose,1052.505376,213.9103841,0.522909939
2,left_eye,1074.256707,197.4428757,0.335763782
2,right_eye,1041.543315,200.0211971,0.668435633
2,left_ear,1112.3816,211.3361837,0.774003208
2,right_ear,1045.585472,211.4237419,0.783470333
2,left_shoulder,1157.547586,289.5932134,0.791394651
2,right_shoulder,1031.61379,305.4988721,0.750198185
2,left_elbow,1173.116656,445.2697967,0.550342739
2,right_elbow,1028.728537,441.6574386,0.616591454
2,left_wrist,1167.30853,568.3197815,0.680411875
2,right_wrist,1013.635216,558.1865869,0.738107502
2,left_hip,1133.98934,539.5569415,0.823869348
2,right_hip,1067.20016,541.5450955,0.797680259
2,left_knee,1107.752572,730.8795469,0.766976416
2,right_knee,1052.257582,729.4680786,0.848239362
2,left_ankle,1152.304695,925.6273253,0.59232825
2,right_ankle,1098.521952,899.7157691,0.820424795
2,nose,1052.505376,213.9103841,0.522909939
2,left_eye,1074.256707,197.4428757,0.335763782
2,right_eye,1041.543315,200.0211971,0.668435633
2,left_ear,1112.3816,211.3361837,0.774003208
2,right_ear,1045.585472,211.4237419,0.783470333
2,left_shoulder,1157.547586,289.5932134,0.791394651
2,right_shoulder,1031.61379,305.4988721,0.750198185
2,left_elbow,1173.116656,445.2697967,0.550342739
2,right_elbow,1028.728537,441.6574386,0.616591454
2,left_wrist,1167.30853,568.3197815,0.680411875
2,right_wrist,1013.635216,558.1865869,0.738107502
2,left_hip,1133.98934,539.5569415,0.823869348
2,right_hip,1067.20016,541.5450955,0.797680259
2,left_knee,1107.752572,730.8795469,0.766976416
2,right_knee,1052.257582,729.4680786,0.848239362
2,left_ankle,1152.304695,925.6273253,0.59232825
2,right_ankle,1098.521952,899.7157691,0.820424795
3,nose,1027.161425,227.4607627,0.686891854
3,left_eye,1046.167431,210.2370959,0.725476384
3,right_eye,1018.51081,213.7621219,0.629951954
3,left_ear,1090.572573,219.8853422,0.687775195
3,right_ear,1029.347726,220.3412777,0.541765928
3,left_shoulder,1122.394832,296.3868994,0.777688205
3,right_shoulder,1050.824393,315.26343,0.802501261
3,left_elbow,1145.56756,448.210558,0.833019316
3,right_elbow,1077.528696,448.7166412,0.474526763
3,left_wrist,1126.030448,579.8247234,0.559228837
3,right_wrist,1073.206934,573.3162842,0.360695153
3,left_hip,1147.603337,537.1315709,0.763664663
3,right_hip,1092.999572,541.8864847,0.739550412
3,left_knee,1094.799503,736.8387952,0.621117592
3,right_knee,1073.562386,726.8765335,0.573643744
3,left_ankle,1138.857057,951.648504,0.593281984
3,right_ankle,1122.130484,899.0761031,0.639108181
3,nose,1027.161425,227.4607627,0.686891854
3,left_eye,1046.167431,210.2370959,0.725476384
3,right_eye,1018.51081,213.7621219,0.629951954
3,left_ear,1090.572573,219.8853422,0.687775195
3,right_ear,1029.347726,220.3412777,0.541765928
3,left_shoulder,1122.394832,296.3868994,0.777688205
3,right_shoulder,1050.824393,315.26343,0.802501261
3,left_elbow,1145.56756,448.210558,0.833019316
3,right_elbow,1077.528696,448.7166412,0.474526763
3,left_wrist,1126.030448,579.8247234,0.559228837
3,right_wrist,1073.206934,573.3162842,0.360695153
3,left_hip,1147.603337,537.1315709,0.763664663
3,right_hip,1092.999572,541.8864847,0.739550412
3,left_knee,1094.799503,736.8387952,0.621117592
3,right_knee,1073.562386,726.8765335,0.573643744
3,left_ankle,1138.857057,951.648504,0.593281984
3,right_ankle,1122.130484,899.0761031,0.639108181
4,nose,970.3232612,385.2054436,0.741594076
4,left_eye,979.6373678,361.2832304,0.683594704
4,right_eye,952.4441962,373.2036978,0.617064536
4,left_ear,1024.225378,349.126549,0.600863218
4,right_ear,963.8220018,374.3325891,0.603817523
4,left_shoulder,1056.369977,412.4177227,0.597788572
4,right_shoulder,1044.352414,413.3869594,0.577252805
4,left_elbow,1093.629478,569.8382821,0.66712743
4,right_elbow,1082.995317,558.9564687,0.584895551
4,left_wrist,1077.549029,693.4821985,0.598078847
4,right_wrist,1077.615598,680.4649504,0.566032052
4,left_hip,1226.727785,558.2253346,0.794198096
4,right_hip,1210.70526,560.2933178,0.725652575
4,left_knee,1132.914606,744.6379579,0.758755088
4,right_knee,1121.184406,734.6861513,0.613775671
4,left_ankle,1146.087118,953.879639,0.777397156
4,right_ankle,1134.454842,910.5821645,0.693249702
4,nose,970.3232612,385.2054436,0.741594076
4,left_eye,979.6373678,361.2832304,0.683594704
4,right_eye,952.4441962,373.2036978,0.617064536
4,left_ear,1024.225378,349.126549,0.600863218
4,right_ear,963.8220018,374.3325891,0.603817523
4,left_shoulder,1056.369977,412.4177227,0.597788572
4,right_shoulder,1044.352414,413.3869594,0.577252805
4,left_elbow,1093.629478,569.8382821,0.66712743
4,right_elbow,1082.995317,558.9564687,0.584895551
4,left_wrist,1077.549029,693.4821985,0.598078847
4,right_wrist,1077.615598,680.4649504,0.566032052
4,left_hip,1226.727785,558.2253346,0.794198096
4,right_hip,1210.70526,560.2933178,0.725652575
4,left_knee,1132.914606,744.6379579,0.758755088
4,right_knee,1121.184406,734.6861513,0.613775671
4,left_ankle,1146.087118,953.879639,0.777397156
4,right_ankle,1134.454842,910.5821645,0.693249702
